Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-01-03T20:00:00Z,SPY,99.154781,9,Market,Filled,892.393029,"" 
2007-01-18T16:00:00Z,SPY,100.55738275,11,Market,Filled,1106.13121025,"" 
2007-03-05T21:00:00Z,SPY,97.8156135,6,Market On Open,Filled,586.893681,"" 
2007-03-13T17:00:00Z,SPY,98.35832875,7,Market,Filled,688.50830125,"" 
2007-04-11T15:00:00Z,SPY,101.868773656,13,Market,Filled,1324.294057528,"" 
2007-05-10T16:00:00Z,SPY,106.121561442,10,Market,Filled,1061.21561442,"" 
2007-06-07T17:00:00Z,SPY,106.56736116,8,Market,Filled,852.53888928,"" 
2007-07-10T18:00:00Z,SPY,107.70225067,8,Market,Filled,861.61800536,"" 
2007-08-10T14:00:00Z,SPY,102.528562878,6,Market,Filled,615.171377268,"" 
2007-08-10T15:00:00Z,SPY,102.12348018,6,Market,Filled,612.74088108,"" 
2007-09-25T14:00:00Z,SPY,107.627475295,8,Market,Filled,861.01980236,"" 
2007-10-15T17:00:00Z,SPY,110.37653507,9,Market,Filled,993.38881563,"" 
2007-11-12T21:00:00Z,SPY,103.72166829,6,Market On Open,Filled,622.33000974,"" 
2007-12-17T15:00:00Z,SPY,104.400007715,7,Market,Filled,730.800054005,"" 
2007-12-17T19:00:00Z,SPY,103.87875742,7,Market,Filled,727.15130194,"" 
2008-01-15T16:00:00Z,SPY,99.513868077,7,Market,Filled,696.597076539,"" 
2008-02-15T15:00:00Z,SPY,96.283597527,8,Market,Filled,770.268780216,"" 
2008-03-27T20:00:00Z,SPY,95.937735894,8,Market On Open,Filled,767.501887152,"" 
2008-03-28T20:00:00Z,SPY,94.704157968,9,Market On Open,Filled,852.337421712,"" 
2008-04-30T20:00:00Z,SPY,99.833245134,12,Market On Open,Filled,1197.998941608,"" 
2008-05-21T19:00:00Z,SPY,100.81433635,11,Market,Filled,1108.95769985,"" 
2008-06-18T14:00:00Z,SPY,97.06310523,10,Market,Filled,970.6310523,"" 
2008-07-28T19:00:00Z,SPY,89.840897112,11,Market,Filled,988.249868232,"" 
2008-08-18T17:00:00Z,SPY,93.175856172,11,Market,Filled,1024.934417892,"" 
2008-09-18T17:00:00Z,SPY,82.540236735,7,Market,Filled,577.781657145,"" 
2008-10-22T14:00:00Z,SPY,67.018088228,10,Market,Filled,670.18088228,"" 
2008-11-20T15:00:00Z,SPY,57.589909784,11,Market,Filled,633.489007624,"" 
2008-11-20T21:00:00Z,SPY,56.466986752,11,Market On Open,Filled,621.136854272,"" 
2008-12-22T20:00:00Z,SPY,63.2917656,13,Market,Filled,822.7929528,"" 
2009-02-10T17:00:00Z,SPY,61.88038128,14,Market,Filled,866.32533792,"" 
2009-02-27T15:00:00Z,SPY,54.73524816,15,Market,Filled,821.0287224,"" 
2009-03-02T15:00:00Z,SPY,53.3312148,15,Market,Filled,799.968222,"" 
2009-03-30T14:00:00Z,SPY,58.71088106,15,Market,Filled,880.6632159,"" 
2009-05-12T17:00:00Z,SPY,66.551337938,18,Market,Filled,1197.924082884,"" 
2009-06-15T15:00:00Z,SPY,68.794641464,16,Market,Filled,1100.714263424,"" 
2009-07-02T14:00:00Z,SPY,67.367128296,15,Market,Filled,1010.50692444,"" 
2009-08-17T14:00:00Z,SPY,73.375668585,14,Market,Filled,1027.25936019,"" 
2009-08-27T14:00:00Z,SPY,76.130513575,13,Market,Filled,989.696676475,"" 
2009-10-01T15:00:00Z,SPY,78.049179103,13,Market,Filled,1014.639328339,"" 
2009-10-30T17:00:00Z,SPY,77.772382436,13,Market,Filled,1011.040971668,"" 
2009-12-03T21:00:00Z,SPY,83.697327308,12,Market On Open,Filled,1004.367927696,"" 
2010-02-04T15:00:00Z,SPY,81.19979286,13,Market,Filled,1055.59730718,"" 
2010-04-07T20:00:00Z,SPY,89.056568304,15,Market On Open,Filled,1335.84852456,"" 
2010-04-08T14:00:00Z,SPY,88.913074851,15,Market,Filled,1333.696122765,"" 
2010-05-04T14:00:00Z,SPY,89.562571533,10,Market,Filled,895.62571533,"" 
2010-06-04T19:00:00Z,SPY,80.756604891,8,Market,Filled,646.052839128,"" 
2010-07-16T14:00:00Z,SPY,81.983107272,10,Market,Filled,819.83107272,"" 
2010-08-06T15:00:00Z,SPY,84.358219506,12,Market,Filled,1012.298634072,"" 
2010-09-23T14:00:00Z,SPY,85.854785296,14,Market,Filled,1201.966994144,"" 
2010-10-19T19:00:00Z,SPY,88.936830192,12,Market,Filled,1067.241962304,"" 
2010-11-09T19:00:00Z,SPY,92.964849264,14,Market,Filled,1301.507889696,"" 
2010-12-15T18:00:00Z,SPY,94.856797616,13,Market,Filled,1233.138369008,"" 
2011-01-10T15:00:00Z,SPY,96.820430625,11,Market,Filled,1065.024736875,"" 
2011-02-10T15:00:00Z,SPY,100.869633585,10,Market,Filled,1008.69633585,"" 
2011-03-10T15:00:00Z,SPY,100.0030428,9,Market,Filled,900.0273852,"" 
2011-04-12T14:00:00Z,SPY,101.3232303,10,Market,Filled,1013.232303,"" 
2011-05-12T14:00:00Z,SPY,102.96381168,10,Market,Filled,1029.6381168,"" 
2011-06-23T14:00:00Z,SPY,98.056033268,8,Market,Filled,784.448266144,"" 
2011-07-18T15:00:00Z,SPY,100.711007961,7,Market,Filled,704.977055727,"" 
2011-08-18T14:00:00Z,SPY,89.572498972,7,Market,Filled,627.007492804,"" 
2011-09-21T20:00:00Z,SPY,88.137322752,8,Market On Open,Filled,705.098582016,"" 
2011-09-22T14:00:00Z,SPY,87.709396132,7,Market,Filled,613.965772924,"" 
2011-10-31T20:00:00Z,SPY,94.9219048,8,Market On Open,Filled,759.3752384,"" 
2011-11-17T15:00:00Z,SPY,96.065635948,9,Market,Filled,864.590723532,"" 
2011-12-19T21:00:00Z,SPY,95.704232104,10,Market On Open,Filled,957.04232104,"" 
2012-01-13T15:00:00Z,SPY,100.629206496,10,Market,Filled,1006.29206496,"" 
2012-01-30T15:00:00Z,SPY,102.109047768,10,Market,Filled,1021.09047768,"" 
2012-02-23T15:00:00Z,SPY,106.227547816,9,Market,Filled,956.047930344,"" 
2012-03-22T14:00:00Z,SPY,109.579219374,9,Market,Filled,986.212974366,"" 
2012-04-23T14:00:00Z,SPY,107.172786108,9,Market,Filled,964.555074972,"" 
2012-05-31T14:00:00Z,SPY,102.996916617,9,Market,Filled,926.972249553,"" 
2012-07-06T15:00:00Z,SPY,106.929284706,10,Market,Filled,1069.29284706,"" 
2012-08-01T20:00:00Z,SPY,107.933204212,10,Market On Open,Filled,1079.33204212,"" 
2012-08-30T14:00:00Z,SPY,111.237443216,9,Market,Filled,1001.136988944,"" 
2012-10-09T15:00:00Z,SPY,114.962227824,8,Market,Filled,919.697822592,"" 
2012-11-07T16:00:00Z,SPY,111.068166464,8,Market,Filled,888.545331712,"" 
2012-12-03T21:00:00Z,SPY,112.403273216,9,Market On Open,Filled,1011.629458944,"" 
2013-01-08T16:00:00Z,SPY,116.17764472,10,Market,Filled,1161.7764472,"" 
2013-01-31T17:00:00Z,SPY,119.80319398,8,Market,Filled,958.42555184,"" 
2013-03-18T14:00:00Z,SPY,124.464845132,8,Market,Filled,995.718761056,"" 
2013-04-03T18:00:00Z,SPY,124.714064238,8,Market,Filled,997.712513904,"" 
2013-05-01T20:00:00Z,SPY,127.559985642,8,Market On Open,Filled,1020.479885136,"" 
2013-05-31T20:00:00Z,SPY,131.748474488,5,Market On Open,Filled,658.74237244,"" 
2013-07-24T17:00:00Z,SPY,136.197038252,10,Market,Filled,1361.97038252,"" 
2013-08-06T15:00:00Z,SPY,136.916331891,7,Market,Filled,958.414323237,"" 
2013-09-27T14:00:00Z,SPY,137.032837771,7,Market,Filled,959.229864397,"" 
2013-10-03T16:00:00Z,SPY,135.6278309,7,Market,Filled,949.3948163,"" 
2013-11-07T19:00:00Z,SPY,142.677229536,8,Market,Filled,1141.417836288,"" 
2013-12-04T19:00:00Z,SPY,145.202993333,7,Market,Filled,1016.420953331,"" 
2014-01-13T19:00:00Z,SPY,149.265747351,6,Market,Filled,895.594484106,"" 
2014-02-19T21:00:00Z,SPY,149.68221177,7,Market On Open,Filled,1047.77548239,"" 
2014-03-10T15:00:00Z,SPY,152.907769525,6,Market,Filled,917.44661715,"" 
2014-04-07T14:00:00Z,SPY,152.5614594,6,Market,Filled,915.3687564,"" 
2014-05-14T20:00:00Z,SPY,154.759656772,7,Market On Open,Filled,1083.317597404,"" 
2014-06-11T14:00:00Z,SPY,159.910656584,7,Market,Filled,1119.374596088,"" 
2014-07-10T14:00:00Z,SPY,161.050258519,6,Market,Filled,966.301551114,"" 
2014-08-28T14:00:00Z,SPY,164.684830138,6,Market,Filled,988.108980828,"" 
2014-09-12T19:00:00Z,SPY,163.745281012,6,Market,Filled,982.471686072,"" 
2014-10-13T20:00:00Z,SPY,156.04912035,4,Market On Open,Filled,624.1964814,"" 
2014-12-01T15:00:00Z,SPY,170.3407887,7,Market,Filled,1192.3855209,"" 
2014-12-15T17:00:00Z,SPY,164.7433566,4,Market,Filled,658.9734264,"" 
2015-01-27T15:00:00Z,SPY,168.911895005,4,Market,Filled,675.64758002,"" 
2015-02-20T15:00:00Z,SPY,173.907564005,6,Market,Filled,1043.44538403,"" 
2015-03-24T19:00:00Z,SPY,174.984097002,6,Market,Filled,1049.904582012,"" 
2015-04-17T14:00:00Z,SPY,174.289914799,6,Market,Filled,1045.739488794,"" 
2015-05-26T14:00:00Z,SPY,176.949552637,7,Market,Filled,1238.646868459,"" 
2015-06-24T18:00:00Z,SPY,177.205137564,7,Market,Filled,1240.435962948,"" 
