Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-01-03T20:00:00Z,SPY,99.154781,18,Market,Filled,1784.786058,"" 
2007-02-09T19:00:00Z,SPY,101.4948,11,Market,Filled,1116.4428,"" 
2007-03-05T21:00:00Z,SPY,97.8156135,8,Market On Open,Filled,782.524908,"" 
2007-04-11T15:00:00Z,SPY,101.868773656,12,Market,Filled,1222.425283872,"" 
2007-05-10T16:00:00Z,SPY,106.121561442,10,Market,Filled,1061.21561442,"" 
2007-06-07T17:00:00Z,SPY,106.56736116,9,Market,Filled,959.10625044,"" 
2007-07-10T18:00:00Z,SPY,107.70225067,9,Market,Filled,969.32025603,"" 
2007-08-10T14:00:00Z,SPY,102.528562878,8,Market,Filled,820.228503024,"" 
2007-09-25T14:00:00Z,SPY,107.627475295,9,Market,Filled,968.647277655,"" 
2007-10-15T17:00:00Z,SPY,110.37653507,11,Market,Filled,1214.14188577,"" 
2007-11-12T21:00:00Z,SPY,103.72166829,9,Market On Open,Filled,933.49501461,"" 
2007-12-17T15:00:00Z,SPY,104.400007715,9,Market,Filled,939.600069435,"" 
2008-01-15T16:00:00Z,SPY,99.513868077,9,Market,Filled,895.624812693,"" 
2008-02-15T15:00:00Z,SPY,96.283597527,9,Market,Filled,866.552377743,"" 
2008-03-27T20:00:00Z,SPY,95.937735894,10,Market On Open,Filled,959.37735894,"" 
2008-04-30T20:00:00Z,SPY,99.833245134,14,Market On Open,Filled,1397.665431876,"" 
2008-05-21T19:00:00Z,SPY,100.81433635,10,Market,Filled,1008.1433635,"" 
2008-06-18T14:00:00Z,SPY,97.06310523,11,Market,Filled,1067.69415753,"" 
2008-07-28T19:00:00Z,SPY,89.840897112,11,Market,Filled,988.249868232,"" 
2008-08-18T17:00:00Z,SPY,93.175856172,11,Market,Filled,1024.934417892,"" 
2008-10-22T14:00:00Z,SPY,67.018088228,12,Market,Filled,804.217058736,"" 
2008-11-06T15:00:00Z,SPY,68.731639608,13,Market,Filled,893.511314904,"" 
2008-11-20T15:00:00Z,SPY,57.589909784,14,Market,Filled,806.258736976,"" 
2008-12-22T20:00:00Z,SPY,63.2917656,17,Market,Filled,1075.9600152,"" 
2009-02-10T17:00:00Z,SPY,61.88038128,19,Market,Filled,1175.72724432,"" 
2009-02-27T15:00:00Z,SPY,54.73524816,20,Market,Filled,1094.7049632,"" 
2009-03-30T14:00:00Z,SPY,58.71088106,19,Market,Filled,1115.50674014,"" 
2009-05-12T17:00:00Z,SPY,66.551337938,15,Market,Filled,998.27006907,"" 
2009-06-15T15:00:00Z,SPY,68.794641464,14,Market,Filled,963.124980496,"" 
2009-07-02T14:00:00Z,SPY,67.367128296,15,Market,Filled,1010.50692444,"" 
2009-08-17T14:00:00Z,SPY,73.375668585,14,Market,Filled,1027.25936019,"" 
2009-08-27T14:00:00Z,SPY,76.130513575,13,Market,Filled,989.696676475,"" 
2009-10-01T15:00:00Z,SPY,78.049179103,13,Market,Filled,1014.639328339,"" 
2009-10-30T17:00:00Z,SPY,77.772382436,13,Market,Filled,1011.040971668,"" 
2009-12-03T21:00:00Z,SPY,83.697327308,12,Market On Open,Filled,1004.367927696,"" 
2009-12-31T21:00:00Z,SPY,84.486594405,11,Market On Open,Filled,929.352538455,"" 
2010-02-04T15:00:00Z,SPY,81.19979286,13,Market,Filled,1055.59730718,"" 
2010-04-07T20:00:00Z,SPY,89.056568304,21,Market On Open,Filled,1870.187934384,"" 
2010-05-04T14:00:00Z,SPY,89.562571533,12,Market,Filled,1074.750858396,"" 
2010-06-04T19:00:00Z,SPY,80.756604891,10,Market,Filled,807.56604891,"" 
2010-07-16T14:00:00Z,SPY,81.983107272,12,Market,Filled,983.797287264,"" 
2010-08-06T15:00:00Z,SPY,84.358219506,13,Market,Filled,1096.656853578,"" 
2010-09-23T14:00:00Z,SPY,85.854785296,13,Market,Filled,1116.112208848,"" 
2010-10-19T19:00:00Z,SPY,88.936830192,11,Market,Filled,978.305132112,"" 
2010-11-09T19:00:00Z,SPY,92.964849264,11,Market,Filled,1022.613341904,"" 
2010-12-15T18:00:00Z,SPY,94.856797616,11,Market,Filled,1043.424773776,"" 
2011-01-10T15:00:00Z,SPY,96.820430625,10,Market,Filled,968.20430625,"" 
2011-02-10T15:00:00Z,SPY,100.869633585,10,Market,Filled,1008.69633585,"" 
2011-03-10T15:00:00Z,SPY,100.0030428,10,Market,Filled,1000.030428,"" 
2011-04-12T14:00:00Z,SPY,101.3232303,10,Market,Filled,1013.232303,"" 
2011-05-12T14:00:00Z,SPY,102.96381168,9,Market,Filled,926.67430512,"" 
2011-06-23T14:00:00Z,SPY,98.056033268,11,Market,Filled,1078.616365948,"" 
2011-07-18T15:00:00Z,SPY,100.711007961,10,Market,Filled,1007.11007961,"" 
2011-08-18T14:00:00Z,SPY,89.572498972,9,Market,Filled,806.152490748,"" 
2011-09-21T20:00:00Z,SPY,88.137322752,10,Market On Open,Filled,881.37322752,"" 
2011-10-31T20:00:00Z,SPY,94.9219048,11,Market On Open,Filled,1044.1409528,"" 
2011-11-17T15:00:00Z,SPY,96.065635948,12,Market,Filled,1152.787631376,"" 
2011-12-19T21:00:00Z,SPY,95.704232104,11,Market On Open,Filled,1052.746553144,"" 
2012-01-30T15:00:00Z,SPY,102.109047768,10,Market,Filled,1021.09047768,"" 
2012-02-23T15:00:00Z,SPY,106.227547816,9,Market,Filled,956.047930344,"" 
2012-03-22T14:00:00Z,SPY,109.579219374,9,Market,Filled,986.212974366,"" 
2012-04-23T14:00:00Z,SPY,107.172786108,10,Market,Filled,1071.72786108,"" 
2012-05-31T14:00:00Z,SPY,102.996916617,9,Market,Filled,926.972249553,"" 
2012-07-06T15:00:00Z,SPY,106.929284706,10,Market,Filled,1069.29284706,"" 
2012-08-01T20:00:00Z,SPY,107.933204212,9,Market On Open,Filled,971.398837908,"" 
2012-08-30T14:00:00Z,SPY,111.237443216,9,Market,Filled,1001.136988944,"" 
2012-10-09T15:00:00Z,SPY,114.962227824,9,Market,Filled,1034.660050416,"" 
2012-11-07T16:00:00Z,SPY,111.068166464,9,Market,Filled,999.613498176,"" 
2012-12-03T21:00:00Z,SPY,112.403273216,8,Market On Open,Filled,899.226185728,"" 
2013-01-08T16:00:00Z,SPY,116.17764472,9,Market,Filled,1045.59880248,"" 
2013-01-31T17:00:00Z,SPY,119.80319398,8,Market,Filled,958.42555184,"" 
2013-03-18T14:00:00Z,SPY,124.464845132,8,Market,Filled,995.718761056,"" 
2013-04-03T18:00:00Z,SPY,124.714064238,8,Market,Filled,997.712513904,"" 
2013-05-01T20:00:00Z,SPY,127.559985642,8,Market On Open,Filled,1020.479885136,"" 
2013-05-31T20:00:00Z,SPY,131.748474488,8,Market On Open,Filled,1053.987795904,"" 
2013-07-24T17:00:00Z,SPY,136.197038252,7,Market,Filled,953.379267764,"" 
2013-08-06T15:00:00Z,SPY,136.916331891,7,Market,Filled,958.414323237,"" 
2013-09-27T14:00:00Z,SPY,137.032837771,8,Market,Filled,1096.262702168,"" 
2013-10-03T16:00:00Z,SPY,135.6278309,7,Market,Filled,949.3948163,"" 
2013-11-07T19:00:00Z,SPY,142.677229536,7,Market,Filled,998.740606752,"" 
2013-12-04T19:00:00Z,SPY,145.202993333,7,Market,Filled,1016.420953331,"" 
2014-01-13T19:00:00Z,SPY,149.265747351,7,Market,Filled,1044.860231457,"" 
2014-02-19T21:00:00Z,SPY,149.68221177,6,Market On Open,Filled,898.09327062,"" 
2014-03-10T15:00:00Z,SPY,152.907769525,7,Market,Filled,1070.354386675,"" 
2014-04-07T14:00:00Z,SPY,152.5614594,6,Market,Filled,915.3687564,"" 
2014-05-14T20:00:00Z,SPY,154.759656772,7,Market On Open,Filled,1083.317597404,"" 
2014-06-11T14:00:00Z,SPY,159.910656584,6,Market,Filled,959.463939504,"" 
2014-07-10T14:00:00Z,SPY,161.050258519,6,Market,Filled,966.301551114,"" 
2014-08-28T14:00:00Z,SPY,164.684830138,6,Market,Filled,988.108980828,"" 
2014-09-12T19:00:00Z,SPY,163.745281012,6,Market,Filled,982.471686072,"" 
2014-10-13T20:00:00Z,SPY,156.04912035,5,Market On Open,Filled,780.24560175,"" 
2014-12-01T15:00:00Z,SPY,170.3407887,7,Market,Filled,1192.3855209,"" 
2014-12-15T17:00:00Z,SPY,164.7433566,6,Market,Filled,988.4601396,"" 
2015-01-27T15:00:00Z,SPY,168.911895005,5,Market,Filled,844.559475025,"" 
2015-02-20T15:00:00Z,SPY,173.907564005,6,Market,Filled,1043.44538403,"" 
2015-03-24T19:00:00Z,SPY,174.984097002,7,Market,Filled,1224.888679014,"" 
2015-04-17T14:00:00Z,SPY,174.289914799,6,Market,Filled,1045.739488794,"" 
2015-05-26T14:00:00Z,SPY,176.949552637,5,Market,Filled,884.747763185,"" 
2015-06-24T18:00:00Z,SPY,177.205137564,6,Market,Filled,1063.230825384,"" 
2015-07-23T17:00:00Z,SPY,176.784901514,5,Market,Filled,883.92450757,"" 
2015-08-20T14:00:00Z,SPY,173.406203672,6,Market,Filled,1040.437222032,"" 
2015-09-24T15:00:00Z,SPY,161.252155404,5,Market,Filled,806.26077702,"" 
2015-10-21T18:00:00Z,SPY,170.87524065,6,Market,Filled,1025.2514439,"" 
2015-11-24T16:00:00Z,SPY,175.43754621,7,Market,Filled,1228.06282347,"" 
2015-12-31T21:00:00Z,SPY,170.437044437,6,Market On Open,Filled,1022.622266622,"" 
2016-02-08T15:00:00Z,SPY,156.872115353,5,Market,Filled,784.360576765,"" 
2016-03-08T21:00:00Z,SPY,169.442622944,7,Market On Open,Filled,1186.098360608,"" 
2016-04-05T14:00:00Z,SPY,174.79248072,6,Market,Filled,1048.75488432,"" 
2016-04-28T20:00:00Z,SPY,176.595081572,5,Market On Open,Filled,882.97540786,"" 
2016-06-10T14:00:00Z,SPY,179.679152224,6,Market,Filled,1078.074913344,"" 
2016-08-02T15:00:00Z,SPY,184.608647559,10,Market,Filled,1846.08647559,"" 
