Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-02-27T15:00:00Z,SPY,101.1987735,1,Market,Filled,101.1987735,"" 
2007-02-27T16:00:00Z,SPY,101.100098,1,Market,Filled,101.100098,"" 
2007-02-27T17:00:00Z,SPY,100.9168435,1,Market,Filled,100.9168435,"" 
2007-02-27T18:00:00Z,SPY,100.733589,2,Market,Filled,201.467178,"" 
2007-02-27T19:00:00Z,SPY,100.34593525,3,Market,Filled,301.03780575,"" 
2007-02-27T20:00:00Z,SPY,98.619114,3,Market,Filled,295.857342,"" 
2007-02-27T21:00:00Z,SPY,98.95038175,4,Market On Open,Filled,395.801527,"" 
2007-02-28T15:00:00Z,SPY,99.154781,5,Market,Filled,495.773905,"" 
2007-03-05T15:00:00Z,SPY,97.86495125,5,Market,Filled,489.32475625,"" 
2007-03-05T16:00:00Z,SPY,98.03410925,5,Market,Filled,490.17054625,"" 
2007-03-05T17:00:00Z,SPY,97.68169675,5,Market,Filled,488.40848375,"" 
2007-06-07T16:00:00Z,SPY,106.81502767,1,Market,Filled,106.81502767,"" 
2007-06-07T17:00:00Z,SPY,106.56736116,1,Market,Filled,106.56736116,"" 
2007-06-07T18:00:00Z,SPY,106.234780418,1,Market,Filled,106.234780418,"" 
2007-06-07T19:00:00Z,SPY,106.31969465,2,Market,Filled,212.6393893,"" 
2007-06-07T20:00:00Z,SPY,105.732371212,3,Market On Open,Filled,317.197113636,"" 
2007-06-08T14:00:00Z,SPY,106.03664721,4,Market,Filled,424.14658884,"" 
2007-06-08T15:00:00Z,SPY,105.987113908,5,Market,Filled,529.93556954,"" 
2007-06-08T16:00:00Z,SPY,106.10740907,6,Market,Filled,636.64445442,"" 
2007-06-08T17:00:00Z,SPY,106.043723396,6,Market,Filled,636.262340376,"" 
2007-07-24T19:00:00Z,SPY,108.036266228,1,Market,Filled,108.036266228,"" 
2007-07-24T20:00:00Z,SPY,108.043372942,1,Market On Open,Filled,108.043372942,"" 
2007-07-25T15:00:00Z,SPY,107.410875396,1,Market,Filled,107.410875396,"" 
2007-07-25T16:00:00Z,SPY,107.63118353,1,Market,Filled,107.63118353,"" 
2007-07-25T17:00:00Z,SPY,107.503262678,1,Market,Filled,107.503262678,"" 
2007-08-09T19:00:00Z,SPY,103.999652676,1,Market,Filled,103.999652676,"" 
2007-08-09T20:00:00Z,SPY,102.507242736,1,Market On Open,Filled,102.507242736,"" 
2007-08-10T14:00:00Z,SPY,102.528562878,1,Market,Filled,102.528562878,"" 
2007-08-10T15:00:00Z,SPY,102.12348018,2,Market,Filled,204.24696036,"" 
2007-08-10T16:00:00Z,SPY,103.026032858,3,Market,Filled,309.078098574,"" 
2007-08-10T17:00:00Z,SPY,102.855471722,4,Market,Filled,411.421886888,"" 
2007-09-10T15:00:00Z,SPY,103.097099998,1,Market,Filled,103.097099998,"" 
2007-09-10T16:00:00Z,SPY,102.94075229,1,Market,Filled,102.94075229,"" 
2007-09-10T17:00:00Z,SPY,103.018926144,1,Market,Filled,103.018926144,"" 
2007-09-10T18:00:00Z,SPY,103.104206712,1,Market,Filled,103.104206712,"" 
2007-10-17T18:00:00Z,SPY,109.01985622,1,Market,Filled,109.01985622,"" 
2007-10-19T15:00:00Z,SPY,108.255831815,1,Market,Filled,108.255831815,"" 
2007-10-19T16:00:00Z,SPY,108.612852565,1,Market,Filled,108.612852565,"" 
2007-10-19T17:00:00Z,SPY,108.455763435,2,Market,Filled,216.91152687,"" 
2007-10-19T18:00:00Z,SPY,108.341516795,3,Market,Filled,325.024550385,"" 
2007-10-19T19:00:00Z,SPY,107.72030069,4,Market,Filled,430.88120276,"" 
2007-11-12T15:00:00Z,SPY,103.985863645,6,Market,Filled,623.91518187,"" 
2007-11-12T16:00:00Z,SPY,104.32146315,6,Market,Filled,625.9287789,"" 
2007-12-14T21:00:00Z,SPY,104.69276473,1,Market On Open,Filled,104.69276473,"" 
2007-12-17T15:00:00Z,SPY,104.400007715,1,Market,Filled,104.400007715,"" 
