Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-02-27T15:00:00Z,SPY,101.1987735,1,Market,Filled,101.1987735,"" 
2007-02-27T16:00:00Z,SPY,101.100098,1,Market,Filled,101.100098,"" 
2007-02-27T17:00:00Z,SPY,100.9168435,1,Market,Filled,100.9168435,"" 
2007-02-27T18:00:00Z,SPY,100.733589,2,Market,Filled,201.467178,"" 
2007-02-27T19:00:00Z,SPY,100.34593525,4,Market,Filled,401.383741,"" 
2007-02-27T20:00:00Z,SPY,98.619114,5,Market,Filled,493.09557,"" 
2007-02-27T21:00:00Z,SPY,98.95038175,6,Market On Open,Filled,593.7022905,"" 
2007-02-28T15:00:00Z,SPY,99.154781,8,Market,Filled,793.238248,"" 
2007-03-05T15:00:00Z,SPY,97.86495125,9,Market,Filled,880.78456125,"" 
2007-06-07T16:00:00Z,SPY,106.81502767,1,Market,Filled,106.81502767,"" 
2007-06-07T17:00:00Z,SPY,106.56736116,1,Market,Filled,106.56736116,"" 
2007-06-07T18:00:00Z,SPY,106.234780418,2,Market,Filled,212.469560836,"" 
2007-06-07T19:00:00Z,SPY,106.31969465,3,Market,Filled,318.95908395,"" 
2007-06-07T20:00:00Z,SPY,105.732371212,4,Market On Open,Filled,422.929484848,"" 
2007-06-08T14:00:00Z,SPY,106.03664721,6,Market,Filled,636.21988326,"" 
2007-06-08T15:00:00Z,SPY,105.987113908,7,Market,Filled,741.909797356,"" 
2007-07-24T19:00:00Z,SPY,108.036266228,1,Market,Filled,108.036266228,"" 
2007-07-24T20:00:00Z,SPY,108.043372942,1,Market On Open,Filled,108.043372942,"" 
2007-07-25T15:00:00Z,SPY,107.410875396,1,Market,Filled,107.410875396,"" 
2007-07-25T16:00:00Z,SPY,107.63118353,1,Market,Filled,107.63118353,"" 
2007-07-25T17:00:00Z,SPY,107.503262678,2,Market,Filled,215.006525356,"" 
2007-07-25T18:00:00Z,SPY,107.02711284,3,Market,Filled,321.08133852,"" 
2007-08-09T19:00:00Z,SPY,103.999652676,1,Market,Filled,103.999652676,"" 
2007-08-09T20:00:00Z,SPY,102.507242736,1,Market On Open,Filled,102.507242736,"" 
2007-08-10T14:00:00Z,SPY,102.528562878,2,Market,Filled,205.057125756,"" 
2007-08-10T15:00:00Z,SPY,102.12348018,4,Market,Filled,408.49392072,"" 
2007-09-10T15:00:00Z,SPY,103.097099998,1,Market,Filled,103.097099998,"" 
2007-09-10T16:00:00Z,SPY,102.94075229,1,Market,Filled,102.94075229,"" 
2007-09-10T17:00:00Z,SPY,103.018926144,1,Market,Filled,103.018926144,"" 
2007-09-10T18:00:00Z,SPY,103.104206712,1,Market,Filled,103.104206712,"" 
2007-10-17T18:00:00Z,SPY,109.01985622,1,Market,Filled,109.01985622,"" 
2007-10-19T15:00:00Z,SPY,108.255831815,1,Market,Filled,108.255831815,"" 
2007-10-19T16:00:00Z,SPY,108.612852565,2,Market,Filled,217.22570513,"" 
2007-10-19T17:00:00Z,SPY,108.455763435,3,Market,Filled,325.367290305,"" 
2007-10-19T18:00:00Z,SPY,108.341516795,4,Market,Filled,433.36606718,"" 
2007-10-19T19:00:00Z,SPY,107.72030069,5,Market,Filled,538.60150345,"" 
2007-11-12T15:00:00Z,SPY,103.985863645,10,Market,Filled,1039.85863645,"" 
2007-12-14T21:00:00Z,SPY,104.69276473,1,Market On Open,Filled,104.69276473,"" 
2007-12-17T15:00:00Z,SPY,104.400007715,1,Market,Filled,104.400007715,"" 
2007-12-17T16:00:00Z,SPY,104.728466805,2,Market,Filled,209.45693361,"" 
2007-12-17T17:00:00Z,SPY,104.442850205,3,Market,Filled,313.328550615,"" 
2007-12-17T18:00:00Z,SPY,104.64992224,3,Market,Filled,313.94976672,"" 
2008-01-14T15:00:00Z,SPY,100.963900635,8,Market,Filled,807.71120508,"" 
2008-02-22T16:00:00Z,SPY,95.852894787,1,Market,Filled,95.852894787,"" 
2008-02-22T17:00:00Z,SPY,95.967748851,1,Market,Filled,95.967748851,"" 
