Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-01-03T20:00:00Z,SPY,99.154781,12,Market,Filled,1189.857372,"" 
2007-02-09T20:00:00Z,SPY,101.184677,9,Market,Filled,910.662093,"" 
2007-03-05T15:00:00Z,SPY,97.86495125,7,Market,Filled,685.05465875,"" 
2007-03-05T16:00:00Z,SPY,98.03410925,7,Market,Filled,686.23876475,"" 
2007-05-10T20:00:00Z,SPY,105.96588535,10,Market On Open,Filled,1059.6588535,"" 
2007-05-24T19:00:00Z,SPY,106.914094274,9,Market,Filled,962.226848466,"" 
2007-06-07T14:00:00Z,SPY,107.5580272,9,Market,Filled,968.0222448,"" 
2007-07-11T14:00:00Z,SPY,107.13371355,7,Market,Filled,749.93599485,"" 
2007-08-10T14:00:00Z,SPY,102.528562878,6,Market,Filled,615.171377268,"" 
2007-08-10T15:00:00Z,SPY,102.12348018,6,Market,Filled,612.74088108,"" 
2007-09-10T15:00:00Z,SPY,103.097099998,6,Market,Filled,618.582599988,"" 
2007-10-16T14:00:00Z,SPY,110.112339715,7,Market,Filled,770.786378005,"" 
2007-10-16T15:00:00Z,SPY,109.97667183,7,Market,Filled,769.83670281,"" 
2007-11-12T15:00:00Z,SPY,103.985863645,6,Market,Filled,623.91518187,"" 
2007-12-17T15:00:00Z,SPY,104.400007715,6,Market,Filled,626.40004629,"" 
2007-12-17T17:00:00Z,SPY,104.442850205,6,Market,Filled,626.65710123,"" 
2008-01-15T16:00:00Z,SPY,99.513868077,6,Market,Filled,597.083208462,"" 
2008-02-29T16:00:00Z,SPY,96.613802961,7,Market,Filled,676.296620727,"" 
2008-02-29T19:00:00Z,SPY,96.111316431,7,Market,Filled,672.779215017,"" 
2008-03-17T14:00:00Z,SPY,91.431013323,7,Market,Filled,640.017093261,"" 
2008-04-14T14:00:00Z,SPY,96.08922792,8,Market,Filled,768.71382336,"" 
2008-04-14T15:00:00Z,SPY,96.103655732,9,Market,Filled,864.932901588,"" 
2008-05-21T19:00:00Z,SPY,100.81433635,10,Market,Filled,1008.1433635,"" 
2008-06-18T15:00:00Z,SPY,96.767335084,10,Market,Filled,967.67335084,"" 
2008-07-28T17:00:00Z,SPY,90.152643285,9,Market,Filled,811.373789565,"" 
