Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-01-03T20:00:00Z,SPY,99.154781,9,Market,Filled,892.393029,"" 
2007-01-18T16:00:00Z,SPY,100.55738275,9,Market,Filled,905.01644475,"" 
2007-02-09T19:00:00Z,SPY,101.4948,8,Market,Filled,811.9584,"" 
2007-03-05T21:00:00Z,SPY,97.8156135,7,Market On Open,Filled,684.7092945,"" 
2007-04-11T15:00:00Z,SPY,101.868773656,8,Market,Filled,814.950189248,"" 
2007-05-10T16:00:00Z,SPY,106.121561442,8,Market,Filled,848.972491536,"" 
2007-05-10T17:00:00Z,SPY,106.128637628,8,Market,Filled,849.029101024,"" 
2007-06-07T17:00:00Z,SPY,106.56736116,8,Market,Filled,852.53888928,"" 
2007-07-10T18:00:00Z,SPY,107.70225067,7,Market,Filled,753.91575469,"" 
2007-08-10T14:00:00Z,SPY,102.528562878,7,Market,Filled,717.699940146,"" 
2007-09-25T14:00:00Z,SPY,107.627475295,7,Market,Filled,753.392327065,"" 
2007-10-15T17:00:00Z,SPY,110.37653507,7,Market,Filled,772.63574549,"" 
2007-10-17T18:00:00Z,SPY,109.01985622,7,Market,Filled,763.13899354,"" 
2007-11-12T21:00:00Z,SPY,103.72166829,7,Market On Open,Filled,726.05167803,"" 
2007-12-17T15:00:00Z,SPY,104.400007715,7,Market,Filled,730.800054005,"" 
2007-12-17T19:00:00Z,SPY,103.87875742,7,Market,Filled,727.15130194,"" 
2008-01-15T16:00:00Z,SPY,99.513868077,7,Market,Filled,696.597076539,"" 
2008-02-15T15:00:00Z,SPY,96.283597527,7,Market,Filled,673.985182689,"" 
2008-02-22T16:00:00Z,SPY,95.852894787,8,Market,Filled,766.823158296,"" 
2008-03-27T20:00:00Z,SPY,95.937735894,8,Market On Open,Filled,767.501887152,"" 
2008-04-30T20:00:00Z,SPY,99.833245134,8,Market On Open,Filled,798.665961072,"" 
2008-05-21T19:00:00Z,SPY,100.81433635,9,Market,Filled,907.32902715,"" 
