Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-02-27T15:00:00Z,SPY,101.1987735,6,Market,Filled,607.192641,"" 
2007-02-27T16:00:00Z,SPY,101.100098,6,Market,Filled,606.600588,"" 
2007-02-27T17:00:00Z,SPY,100.9168435,6,Market,Filled,605.501061,"" 
2007-02-27T18:00:00Z,SPY,100.733589,6,Market,Filled,604.401534,"" 
2007-03-05T15:00:00Z,SPY,97.86495125,8,Market,Filled,782.91961,"" 
2007-06-07T16:00:00Z,SPY,106.81502767,6,Market,Filled,640.89016602,"" 
2007-06-07T17:00:00Z,SPY,106.56736116,6,Market,Filled,639.40416696,"" 
2007-06-07T18:00:00Z,SPY,106.234780418,6,Market,Filled,637.408682508,"" 
2007-06-07T19:00:00Z,SPY,106.31969465,6,Market,Filled,637.9181679,"" 
2007-06-07T20:00:00Z,SPY,105.732371212,6,Market On Open,Filled,634.394227272,"" 
2007-07-24T19:00:00Z,SPY,108.036266228,6,Market,Filled,648.217597368,"" 
2007-08-09T19:00:00Z,SPY,103.999652676,6,Market,Filled,623.997916056,"" 
2007-08-09T20:00:00Z,SPY,102.507242736,6,Market On Open,Filled,615.043456416,"" 
2007-09-10T15:00:00Z,SPY,103.097099998,6,Market,Filled,618.582599988,"" 
2007-09-10T16:00:00Z,SPY,102.94075229,6,Market,Filled,617.64451374,"" 
2007-10-17T18:00:00Z,SPY,109.01985622,5,Market,Filled,545.0992811,"" 
2007-11-12T15:00:00Z,SPY,103.985863645,7,Market,Filled,727.901045515,"" 
2007-11-12T16:00:00Z,SPY,104.32146315,7,Market,Filled,730.25024205,"" 
2007-12-14T21:00:00Z,SPY,104.69276473,6,Market On Open,Filled,628.15658838,"" 
2008-01-14T15:00:00Z,SPY,100.963900635,6,Market,Filled,605.78340381,"" 
2008-01-14T16:00:00Z,SPY,101.28692769,6,Market,Filled,607.72156614,"" 
2008-02-22T16:00:00Z,SPY,95.852894787,6,Market,Filled,575.117368722,"" 
2008-02-22T17:00:00Z,SPY,95.967748851,6,Market,Filled,575.806493106,"" 
2008-03-14T14:00:00Z,SPY,92.909759397,7,Market,Filled,650.368315779,"" 
2008-04-14T14:00:00Z,SPY,96.08922792,6,Market,Filled,576.53536752,"" 
2008-04-14T15:00:00Z,SPY,96.103655732,6,Market,Filled,576.621934392,"" 
2008-05-21T20:00:00Z,SPY,100.583491358,6,Market On Open,Filled,603.500948148,"" 
2008-05-22T14:00:00Z,SPY,100.612346982,6,Market,Filled,603.674081892,"" 
2008-06-18T14:00:00Z,SPY,97.06310523,6,Market,Filled,582.37863138,"" 
2008-07-16T14:00:00Z,SPY,88.688161263,9,Market,Filled,798.193451367,"" 
2008-07-16T15:00:00Z,SPY,88.789660017,9,Market,Filled,799.106940153,"" 
2008-08-19T14:00:00Z,SPY,92.276867208,7,Market,Filled,645.938070456,"" 
2008-09-18T14:00:00Z,SPY,85.918695261,9,Market,Filled,773.268257349,"" 
2008-10-20T14:00:00Z,SPY,70.226439748,14,Market,Filled,983.170156472,"" 
2008-11-20T15:00:00Z,SPY,57.589909784,14,Market,Filled,806.258736976,"" 
2008-11-20T16:00:00Z,SPY,58.756583064,14,Market,Filled,822.592162896,"" 
2008-12-22T17:00:00Z,SPY,64.19593368,10,Market,Filled,641.9593368,"" 
2009-01-22T15:00:00Z,SPY,60.57926136,16,Market,Filled,969.26818176,"" 
2009-02-23T15:00:00Z,SPY,56.99934384,15,Market,Filled,854.9901576,"" 
2009-03-30T19:00:00Z,SPY,57.733600316,11,Market,Filled,635.069603476,"" 
2009-05-15T19:00:00Z,SPY,65.433387996,9,Market,Filled,588.900491964,"" 
2009-05-21T15:00:00Z,SPY,65.759148244,9,Market,Filled,591.832334196,"" 
2009-06-15T16:00:00Z,SPY,68.676183192,9,Market,Filled,618.085648728,"" 
2009-06-15T18:00:00Z,SPY,68.550321278,9,Market,Filled,616.952891502,"" 
2009-07-02T14:00:00Z,SPY,67.367128296,9,Market,Filled,606.304154664,"" 
2009-07-02T15:00:00Z,SPY,67.329900661,9,Market,Filled,605.969105949,"" 
2009-08-17T14:00:00Z,SPY,73.375668585,8,Market,Filled,587.00534868,"" 
2009-09-01T16:00:00Z,SPY,74.97645689,8,Market,Filled,599.81165512,"" 
