Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-02-27T15:00:00Z,SPY,101.1987735,7,Market,Filled,708.3914145,"" 
2007-02-27T16:00:00Z,SPY,101.100098,7,Market,Filled,707.700686,"" 
2007-02-27T17:00:00Z,SPY,100.9168435,7,Market,Filled,706.4179045,"" 
2007-03-05T15:00:00Z,SPY,97.86495125,13,Market,Filled,1272.24436625,"" 
2007-06-07T16:00:00Z,SPY,106.81502767,7,Market,Filled,747.70519369,"" 
2007-06-07T17:00:00Z,SPY,106.56736116,7,Market,Filled,745.97152812,"" 
2007-06-07T18:00:00Z,SPY,106.234780418,7,Market,Filled,743.643462926,"" 
2007-06-07T19:00:00Z,SPY,106.31969465,7,Market,Filled,744.23786255,"" 
2007-07-24T18:00:00Z,SPY,108.505309352,6,Market,Filled,651.031856112,"" 
2007-08-10T14:00:00Z,SPY,102.528562878,7,Market,Filled,717.699940146,"" 
2007-08-10T15:00:00Z,SPY,102.12348018,7,Market,Filled,714.86436126,"" 
2007-09-10T15:00:00Z,SPY,103.097099998,7,Market,Filled,721.679699986,"" 
2007-10-16T20:00:00Z,SPY,110.6764325,6,Market On Open,Filled,664.058595,"" 
2007-10-17T17:00:00Z,SPY,109.59108942,6,Market,Filled,657.54653652,"" 
2007-11-12T15:00:00Z,SPY,103.985863645,10,Market,Filled,1039.85863645,"" 
2007-12-13T15:00:00Z,SPY,105.628159095,7,Market,Filled,739.397113665,"" 
2008-01-14T15:00:00Z,SPY,100.963900635,7,Market,Filled,706.747304445,"" 
2008-02-22T16:00:00Z,SPY,95.852894787,7,Market,Filled,670.970263509,"" 
2008-02-22T17:00:00Z,SPY,95.967748851,7,Market,Filled,671.774241957,"" 
2008-03-14T14:00:00Z,SPY,92.909759397,8,Market,Filled,743.278075176,"" 
2008-04-14T14:00:00Z,SPY,96.08922792,8,Market,Filled,768.71382336,"" 
2008-04-14T15:00:00Z,SPY,96.103655732,9,Market,Filled,864.932901588,"" 
2008-05-21T19:00:00Z,SPY,100.81433635,7,Market,Filled,705.70035445,"" 
2008-06-18T14:00:00Z,SPY,97.06310523,7,Market,Filled,679.44173661,"" 
2008-07-16T14:00:00Z,SPY,88.688161263,14,Market,Filled,1241.634257682,"" 
2008-08-19T14:00:00Z,SPY,92.276867208,8,Market,Filled,738.214937664,"" 
2008-09-18T14:00:00Z,SPY,85.918695261,13,Market,Filled,1116.943038393,"" 
2008-10-22T14:00:00Z,SPY,67.018088228,11,Market,Filled,737.198970508,"" 
2008-10-22T15:00:00Z,SPY,67.783717568,11,Market,Filled,745.620893248,"" 
2008-11-20T15:00:00Z,SPY,57.589909784,21,Market,Filled,1209.388105464,"" 
2008-12-22T17:00:00Z,SPY,64.19593368,11,Market,Filled,706.15527048,"" 
2009-01-22T15:00:00Z,SPY,60.57926136,22,Market,Filled,1332.74374992,"" 
2009-02-23T15:00:00Z,SPY,56.99934384,18,Market,Filled,1025.98818912,"" 
2009-03-30T15:00:00Z,SPY,58.333295318,13,Market,Filled,758.332839134,"" 
2009-04-23T15:00:00Z,SPY,62.205400084,12,Market,Filled,746.464801008,"" 
2009-06-15T15:00:00Z,SPY,68.794641464,11,Market,Filled,756.741056104,"" 
2009-07-02T16:00:00Z,SPY,67.203326702,11,Market,Filled,739.236593722,"" 
2009-07-02T17:00:00Z,SPY,67.166099067,11,Market,Filled,738.827089737,"" 
2009-08-17T14:00:00Z,SPY,73.375668585,10,Market,Filled,733.75668585,"" 
2009-09-01T16:00:00Z,SPY,74.97645689,10,Market,Filled,749.7645689,"" 
2009-09-30T14:00:00Z,SPY,78.408266671,9,Market,Filled,705.674400039,"" 
2009-09-30T15:00:00Z,SPY,78.468114599,9,Market,Filled,706.213031391,"" 
2009-10-28T14:00:00Z,SPY,79.291023609,12,Market,Filled,951.492283308,"" 
2009-11-30T17:00:00Z,SPY,81.647535774,9,Market,Filled,734.827821966,"" 
2010-01-21T16:00:00Z,SPY,84.697190385,8,Market,Filled,677.57752308,"" 
2010-01-21T17:00:00Z,SPY,84.14813658,9,Market,Filled,757.33322922,"" 
2010-02-01T15:00:00Z,SPY,81.478080405,15,Market,Filled,1222.171206075,"" 
2010-04-27T16:00:00Z,SPY,90.076127049,8,Market,Filled,720.609016392,"" 
2010-04-27T19:00:00Z,SPY,90.000604179,8,Market,Filled,720.004833432,"" 
2010-05-04T14:00:00Z,SPY,89.562571533,8,Market,Filled,716.500572264,"" 
2010-06-04T18:00:00Z,SPY,81.383444712,9,Market,Filled,732.451002408,"" 
2010-06-04T19:00:00Z,SPY,80.756604891,9,Market,Filled,726.809444019,"" 
2010-07-06T14:00:00Z,SPY,78.72776175,17,Market,Filled,1338.37194975,"" 
2010-08-11T14:00:00Z,SPY,83.591809488,9,Market,Filled,752.326285392,"" 
2010-11-12T18:00:00Z,SPY,91.385682696,8,Market,Filled,731.085461568,"" 
2010-11-12T19:00:00Z,SPY,91.39331152,8,Market,Filled,731.14649216,"" 
2010-11-15T21:00:00Z,SPY,91.034756792,8,Market On Open,Filled,728.278054336,"" 
2010-11-16T15:00:00Z,SPY,90.882180312,8,Market,Filled,727.057442496,"" 
2011-02-22T21:00:00Z,SPY,101.01534354,7,Market On Open,Filled,707.10740478,"" 
2011-02-23T15:00:00Z,SPY,100.89264042,7,Market,Filled,706.24848294,"" 
2011-02-23T16:00:00Z,SPY,100.976998815,7,Market,Filled,706.838991705,"" 
2011-02-23T17:00:00Z,SPY,100.470848445,7,Market,Filled,703.295939115,"" 
2011-03-10T15:00:00Z,SPY,100.0030428,7,Market,Filled,700.0212996,"" 
2011-04-12T14:00:00Z,SPY,101.3232303,7,Market,Filled,709.2626121,"" 
2011-04-12T15:00:00Z,SPY,100.90730826,7,Market,Filled,706.35115782,"" 
2011-05-12T14:00:00Z,SPY,102.96381168,7,Market,Filled,720.74668176,"" 
2011-06-13T14:00:00Z,SPY,98.68135512,9,Market,Filled,888.13219608,"" 
2011-07-13T20:00:00Z,SPY,102.305540867,7,Market On Open,Filled,716.138786069,"" 
2011-07-14T15:00:00Z,SPY,102.034625082,7,Market,Filled,714.242375574,"" 
2011-08-18T14:00:00Z,SPY,89.572498972,8,Market,Filled,716.579991776,"" 
2011-09-21T20:00:00Z,SPY,88.137322752,8,Market On Open,Filled,705.098582016,"" 
2011-11-01T14:00:00Z,SPY,95.435416744,8,Market,Filled,763.483333952,"" 
2011-11-01T15:00:00Z,SPY,95.559904488,8,Market,Filled,764.479235904,"" 
2011-11-17T15:00:00Z,SPY,96.065635948,7,Market,Filled,672.459451636,"" 
2011-12-19T15:00:00Z,SPY,95.555464992,8,Market,Filled,764.443719936,"" 
2011-12-19T16:00:00Z,SPY,95.109163656,8,Market,Filled,760.873309248,"" 
2012-03-06T15:00:00Z,SPY,105.789076328,7,Market,Filled,740.523534296,"" 
2012-03-06T16:00:00Z,SPY,105.608989824,7,Market,Filled,739.262928768,"" 
2012-04-09T14:00:00Z,SPY,108.486100995,7,Market,Filled,759.402706965,"" 
2012-04-09T15:00:00Z,SPY,108.745618308,7,Market,Filled,761.219328156,"" 
2012-04-23T14:00:00Z,SPY,107.172786108,7,Market,Filled,750.209502756,"" 
2012-05-23T14:00:00Z,SPY,103.303618896,7,Market,Filled,723.125332272,"" 
2012-06-25T14:00:00Z,SPY,104.075623748,7,Market,Filled,728.529366236,"" 
2012-06-25T15:00:00Z,SPY,103.838477408,7,Market,Filled,726.869341856,"" 
2012-07-25T14:00:00Z,SPY,105.980699346,7,Market,Filled,741.864895422,"" 
2012-09-25T20:00:00Z,SPY,114.525139304,6,Market On Open,Filled,687.150835824,"" 
2012-09-27T14:00:00Z,SPY,114.19930968,7,Market,Filled,799.39516776,"" 
2012-09-27T15:00:00Z,SPY,114.31851564,7,Market,Filled,800.22960948,"" 
2012-10-31T15:00:00Z,SPY,112.268173128,6,Market,Filled,673.609038768,"" 
2012-12-27T16:00:00Z,SPY,112.74417754,6,Market,Filled,676.46506524,"" 
2012-12-31T15:00:00Z,SPY,112.39202706,7,Market,Filled,786.74418942,"" 
2012-12-31T16:00:00Z,SPY,112.27197576,7,Market,Filled,785.90383032,"" 
2013-02-21T15:00:00Z,SPY,120.44346758,6,Market,Filled,722.66080548,"" 
