Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-02-27T15:00:00Z,SPY,101.1987735,9,Market,Filled,910.7889615,"" 
2007-02-27T16:00:00Z,SPY,101.100098,9,Market,Filled,909.900882,"" 
2007-02-27T17:00:00Z,SPY,100.9168435,9,Market,Filled,908.2515915,"" 
2007-03-05T15:00:00Z,SPY,97.86495125,12,Market,Filled,1174.379415,"" 
2007-06-07T16:00:00Z,SPY,106.81502767,8,Market,Filled,854.52022136,"" 
2007-06-07T17:00:00Z,SPY,106.56736116,8,Market,Filled,852.53888928,"" 
2007-06-07T18:00:00Z,SPY,106.234780418,9,Market,Filled,956.113023762,"" 
2007-07-24T18:00:00Z,SPY,108.505309352,8,Market,Filled,868.042474816,"" 
2007-08-10T14:00:00Z,SPY,102.528562878,9,Market,Filled,922.757065902,"" 
2007-09-10T15:00:00Z,SPY,103.097099998,9,Market,Filled,927.873899982,"" 
2007-10-16T20:00:00Z,SPY,110.6764325,8,Market On Open,Filled,885.41146,"" 
2007-11-12T15:00:00Z,SPY,103.985863645,11,Market,Filled,1143.844500095,"" 
2007-12-13T15:00:00Z,SPY,105.628159095,8,Market,Filled,845.02527276,"" 
2008-01-14T15:00:00Z,SPY,100.963900635,9,Market,Filled,908.675105715,"" 
2008-02-22T16:00:00Z,SPY,95.852894787,9,Market,Filled,862.676053083,"" 
2008-02-22T17:00:00Z,SPY,95.967748851,9,Market,Filled,863.709739659,"" 
2008-03-14T14:00:00Z,SPY,92.909759397,10,Market,Filled,929.09759397,"" 
2008-04-14T14:00:00Z,SPY,96.08922792,10,Market,Filled,960.8922792,"" 
2008-05-21T19:00:00Z,SPY,100.81433635,9,Market,Filled,907.32902715,"" 
2008-06-18T14:00:00Z,SPY,97.06310523,9,Market,Filled,873.56794707,"" 
2008-07-16T14:00:00Z,SPY,88.688161263,13,Market,Filled,1152.946096419,"" 
2008-08-19T14:00:00Z,SPY,92.276867208,10,Market,Filled,922.76867208,"" 
2008-09-18T14:00:00Z,SPY,85.918695261,13,Market,Filled,1116.943038393,"" 
2008-10-22T14:00:00Z,SPY,67.018088228,14,Market,Filled,938.253235192,"" 
2008-11-20T15:00:00Z,SPY,57.589909784,21,Market,Filled,1209.388105464,"" 
2008-12-22T17:00:00Z,SPY,64.19593368,14,Market,Filled,898.74307152,"" 
2009-01-22T15:00:00Z,SPY,60.57926136,20,Market,Filled,1211.5852272,"" 
2009-02-23T15:00:00Z,SPY,56.99934384,18,Market,Filled,1025.98818912,"" 
2009-03-30T15:00:00Z,SPY,58.333295318,16,Market,Filled,933.332725088,"" 
2009-04-23T15:00:00Z,SPY,62.205400084,15,Market,Filled,933.08100126,"" 
2009-06-15T15:00:00Z,SPY,68.794641464,13,Market,Filled,894.330339032,"" 
2009-07-02T16:00:00Z,SPY,67.203326702,14,Market,Filled,940.846573828,"" 
2009-08-17T14:00:00Z,SPY,73.375668585,13,Market,Filled,953.883691605,"" 
