Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-01-03T20:00:00Z,SPY,99.154781,10,Market,Filled,991.54781,"" 
2007-01-18T16:00:00Z,SPY,100.55738275,9,Market,Filled,905.01644475,"" 
2007-02-09T19:00:00Z,SPY,101.4948,9,Market,Filled,913.4532,"" 
2007-03-05T21:00:00Z,SPY,97.8156135,10,Market On Open,Filled,978.156135,"" 
2007-04-11T15:00:00Z,SPY,101.868773656,9,Market,Filled,916.818962904,"" 
2007-05-10T16:00:00Z,SPY,106.121561442,9,Market,Filled,955.094052978,"" 
2007-06-07T17:00:00Z,SPY,106.56736116,9,Market,Filled,959.10625044,"" 
2007-07-10T18:00:00Z,SPY,107.70225067,9,Market,Filled,969.32025603,"" 
2007-08-10T14:00:00Z,SPY,102.528562878,9,Market,Filled,922.757065902,"" 
2007-09-25T14:00:00Z,SPY,107.627475295,9,Market,Filled,968.647277655,"" 
2007-10-15T17:00:00Z,SPY,110.37653507,9,Market,Filled,993.38881563,"" 
2007-11-12T21:00:00Z,SPY,103.72166829,9,Market On Open,Filled,933.49501461,"" 
2007-12-17T15:00:00Z,SPY,104.400007715,9,Market,Filled,939.600069435,"" 
2008-01-15T16:00:00Z,SPY,99.513868077,10,Market,Filled,995.13868077,"" 
2008-02-15T15:00:00Z,SPY,96.283597527,10,Market,Filled,962.83597527,"" 
2008-03-27T20:00:00Z,SPY,95.937735894,10,Market On Open,Filled,959.37735894,"" 
2008-04-30T20:00:00Z,SPY,99.833245134,10,Market On Open,Filled,998.33245134,"" 
2008-05-21T19:00:00Z,SPY,100.81433635,9,Market,Filled,907.32902715,"" 
2008-06-18T14:00:00Z,SPY,97.06310523,10,Market,Filled,970.6310523,"" 
2008-07-28T19:00:00Z,SPY,89.840897112,11,Market,Filled,988.249868232,"" 
2008-08-18T17:00:00Z,SPY,93.175856172,10,Market,Filled,931.75856172,"" 
2008-09-18T17:00:00Z,SPY,82.540236735,12,Market,Filled,990.48284082,"" 
2008-10-22T14:00:00Z,SPY,67.018088228,14,Market,Filled,938.253235192,"" 
2008-11-20T15:00:00Z,SPY,57.589909784,17,Market,Filled,979.028466328,"" 
2008-11-20T21:00:00Z,SPY,56.466986752,18,Market On Open,Filled,1016.405761536,"" 
2009-02-10T17:00:00Z,SPY,61.88038128,16,Market,Filled,990.08610048,"" 
2009-02-27T15:00:00Z,SPY,54.73524816,18,Market,Filled,985.23446688,"" 
2009-03-02T15:00:00Z,SPY,53.3312148,18,Market,Filled,959.9618664,"" 
2009-03-30T14:00:00Z,SPY,58.71088106,17,Market,Filled,998.08497802,"" 
2009-05-12T17:00:00Z,SPY,66.551337938,15,Market,Filled,998.27006907,"" 
2009-06-15T15:00:00Z,SPY,68.794641464,14,Market,Filled,963.124980496,"" 
2009-07-02T14:00:00Z,SPY,67.367128296,14,Market,Filled,943.139796144,"" 
2009-08-17T14:00:00Z,SPY,73.375668585,13,Market,Filled,953.883691605,"" 
2009-08-27T14:00:00Z,SPY,76.130513575,13,Market,Filled,989.696676475,"" 
2009-10-01T15:00:00Z,SPY,78.049179103,12,Market,Filled,936.590149236,"" 
2009-10-30T17:00:00Z,SPY,77.772382436,12,Market,Filled,933.268589232,"" 
2009-12-03T21:00:00Z,SPY,83.697327308,12,Market On Open,Filled,1004.367927696,"" 
2009-12-31T21:00:00Z,SPY,84.486594405,11,Market On Open,Filled,929.352538455,"" 
2010-02-04T15:00:00Z,SPY,81.19979286,12,Market,Filled,974.39751432,"" 
2010-04-07T20:00:00Z,SPY,89.056568304,11,Market On Open,Filled,979.622251344,"" 
2010-04-08T14:00:00Z,SPY,88.913074851,11,Market,Filled,978.043823361,"" 
2010-05-04T14:00:00Z,SPY,89.562571533,11,Market,Filled,985.188286863,"" 
2010-06-04T19:00:00Z,SPY,80.756604891,12,Market,Filled,969.079258692,"" 
