Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-01-03T20:00:00Z,SPY,99.154781,10,Market,Filled,991.54781,"" 
2007-01-03T21:00:00Z,SPY,99.54243475,10,Market On Open,Filled,995.4243475,"" 
2007-02-08T15:00:00Z,SPY,101.889502,9,Market,Filled,917.005518,"" 
2007-03-05T15:00:00Z,SPY,97.86495125,10,Market,Filled,978.6495125,"" 
2007-04-11T15:00:00Z,SPY,101.868773656,9,Market,Filled,916.818962904,"" 
2007-05-10T16:00:00Z,SPY,106.121561442,9,Market,Filled,955.094052978,"" 
2007-06-07T14:00:00Z,SPY,107.5580272,9,Market,Filled,968.0222448,"" 
2007-07-10T14:00:00Z,SPY,108.05758637,9,Market,Filled,972.51827733,"" 
2007-08-09T20:00:00Z,SPY,102.507242736,9,Market On Open,Filled,922.565184624,"" 
2007-09-10T14:00:00Z,SPY,103.736704258,9,Market,Filled,933.630338322,"" 
2007-10-11T20:00:00Z,SPY,111.012032005,9,Market On Open,Filled,999.108288045,"" 
2007-11-12T15:00:00Z,SPY,103.985863645,9,Market,Filled,935.872772805,"" 
2007-12-12T16:00:00Z,SPY,107.00625919,9,Market,Filled,963.05633271,"" 
2008-01-15T16:00:00Z,SPY,99.513868077,10,Market,Filled,995.13868077,"" 
2008-02-15T15:00:00Z,SPY,96.283597527,10,Market,Filled,962.83597527,"" 
2008-03-14T14:00:00Z,SPY,92.909759397,10,Market,Filled,929.09759397,"" 
2008-04-14T14:00:00Z,SPY,96.08922792,10,Market,Filled,960.8922792,"" 
2008-05-20T16:00:00Z,SPY,102.083983806,9,Market,Filled,918.755854254,"" 
2008-06-18T14:00:00Z,SPY,97.06310523,10,Market,Filled,970.6310523,"" 
2008-07-16T14:00:00Z,SPY,88.688161263,11,Market,Filled,975.569773893,"" 
2008-08-18T17:00:00Z,SPY,93.175856172,10,Market,Filled,931.75856172,"" 
2008-09-18T14:00:00Z,SPY,85.918695261,11,Market,Filled,945.105647871,"" 
2008-10-22T14:00:00Z,SPY,67.018088228,14,Market,Filled,938.253235192,"" 
2008-11-20T15:00:00Z,SPY,57.589909784,17,Market,Filled,979.028466328,"" 
2008-11-20T16:00:00Z,SPY,58.756583064,17,Market,Filled,998.861912088,"" 
2008-12-22T15:00:00Z,SPY,64.70314992,15,Market,Filled,970.5472488,"" 
