Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-01-03T20:00:00Z,SPY,99.154781,10,Market,Filled,991.54781,"" 
2007-01-05T15:00:00Z,SPY,99.295746,10,Market,Filled,992.95746,"" 
2007-02-09T19:00:00Z,SPY,101.4948,9,Market,Filled,913.4532,"" 
2007-03-13T18:00:00Z,SPY,98.16097775,10,Market,Filled,981.6097775,"" 
2007-05-10T16:00:00Z,SPY,106.121561442,9,Market,Filled,955.094052978,"" 
2007-05-10T17:00:00Z,SPY,106.128637628,9,Market,Filled,955.157738652,"" 
2007-06-07T15:00:00Z,SPY,107.119303668,9,Market,Filled,964.073733012,"" 
2007-07-10T20:00:00Z,SPY,107.13371355,9,Market On Open,Filled,964.20342195,"" 
2007-08-15T20:00:00Z,SPY,99.344755006,9,Market On Open,Filled,894.102795054,"" 
2007-09-10T15:00:00Z,SPY,103.097099998,9,Market,Filled,927.873899982,"" 
2007-10-16T14:00:00Z,SPY,110.112339715,9,Market,Filled,991.011057435,"" 
2007-11-26T21:00:00Z,SPY,101.20824221,9,Market On Open,Filled,910.87417989,"" 
2007-12-13T15:00:00Z,SPY,105.628159095,9,Market,Filled,950.653431855,"" 
2008-01-16T15:00:00Z,SPY,98.659640976,10,Market,Filled,986.59640976,"" 
2008-02-22T16:00:00Z,SPY,95.852894787,10,Market,Filled,958.52894787,"" 
2008-03-28T20:00:00Z,SPY,94.704157968,10,Market On Open,Filled,947.04157968,"" 
2008-04-14T14:00:00Z,SPY,96.08922792,10,Market,Filled,960.8922792,"" 
2008-05-21T19:00:00Z,SPY,100.81433635,9,Market,Filled,907.32902715,"" 
2008-06-20T14:00:00Z,SPY,96.177319326,10,Market,Filled,961.77319326,"" 
2008-07-28T19:00:00Z,SPY,89.840897112,11,Market,Filled,988.249868232,"" 
2008-08-19T14:00:00Z,SPY,92.276867208,10,Market,Filled,922.76867208,"" 
2008-09-18T17:00:00Z,SPY,82.540236735,12,Market,Filled,990.48284082,"" 
2008-10-23T17:00:00Z,SPY,64.42224018,15,Market,Filled,966.3336027,"" 
2008-11-20T15:00:00Z,SPY,57.589909784,17,Market,Filled,979.028466328,"" 
2008-11-20T17:00:00Z,SPY,58.049287388,17,Market,Filled,986.837885596,"" 
2008-12-22T20:00:00Z,SPY,63.2917656,15,Market,Filled,949.376484,"" 
2009-02-02T15:00:00Z,SPY,60.03529032,16,Market,Filled,960.56464512,"" 
2009-02-23T20:00:00Z,SPY,55.15425288,18,Market,Filled,992.77655184,"" 
2009-03-30T14:00:00Z,SPY,58.71088106,17,Market,Filled,998.08497802,"" 
2009-05-12T17:00:00Z,SPY,66.551337938,15,Market,Filled,998.27006907,"" 
2009-06-15T15:00:00Z,SPY,68.794641464,14,Market,Filled,963.124980496,"" 
2009-07-02T14:00:00Z,SPY,67.367128296,14,Market,Filled,943.139796144,"" 
2009-08-17T14:00:00Z,SPY,73.375668585,13,Market,Filled,953.883691605,"" 
2009-08-31T14:00:00Z,SPY,75.996494089,13,Market,Filled,987.954423157,"" 
2009-10-01T16:00:00Z,SPY,77.667648562,12,Market,Filled,932.011782744,"" 
