Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-01-03T15:00:00Z,SPY,100.2965975,9,Market,Filled,902.6693775,"" 
2007-02-05T15:00:00Z,SPY,101.8754055,9,Market,Filled,916.8786495,"" 
2007-03-05T15:00:00Z,SPY,97.86495125,10,Market,Filled,978.6495125,"" 
2007-04-05T14:00:00Z,SPY,101.72017375,9,Market,Filled,915.48156375,"" 
2007-05-07T14:00:00Z,SPY,106.88578953,9,Market,Filled,961.97210577,"" 
2007-06-07T14:00:00Z,SPY,107.5580272,9,Market,Filled,968.0222448,"" 
2007-07-09T14:00:00Z,SPY,108.80379134,9,Market,Filled,979.23412206,"" 
2007-08-09T14:00:00Z,SPY,105.023019492,9,Market,Filled,945.207175428,"" 
2007-09-10T14:00:00Z,SPY,103.736704258,9,Market,Filled,933.630338322,"" 
2007-10-10T14:00:00Z,SPY,111.240525285,8,Market,Filled,889.92420228,"" 
2007-11-12T15:00:00Z,SPY,103.985863645,9,Market,Filled,935.872772805,"" 
2007-12-12T15:00:00Z,SPY,107.770283595,9,Market,Filled,969.932552355,"" 
2008-01-14T15:00:00Z,SPY,100.963900635,9,Market,Filled,908.675105715,"" 
2008-02-14T15:00:00Z,SPY,97.956159834,10,Market,Filled,979.56159834,"" 
2008-03-14T14:00:00Z,SPY,92.909759397,10,Market,Filled,929.09759397,"" 
2008-04-14T14:00:00Z,SPY,96.08922792,10,Market,Filled,960.8922792,"" 
2008-05-14T14:00:00Z,SPY,102.069555994,9,Market,Filled,918.626003946,"" 
2008-06-16T14:00:00Z,SPY,97.979271292,10,Market,Filled,979.79271292,"" 
2008-07-16T14:00:00Z,SPY,88.688161263,11,Market,Filled,975.569773893,"" 
2008-08-18T14:00:00Z,SPY,93.987846204,10,Market,Filled,939.87846204,"" 
2008-09-18T14:00:00Z,SPY,85.918695261,11,Market,Filled,945.105647871,"" 
2008-10-20T14:00:00Z,SPY,70.226439748,14,Market,Filled,983.170156472,"" 
2008-11-20T15:00:00Z,SPY,57.589909784,17,Market,Filled,979.028466328,"" 
2008-12-22T15:00:00Z,SPY,64.70314992,15,Market,Filled,970.5472488,"" 
2009-01-22T15:00:00Z,SPY,60.57926136,16,Market,Filled,969.26818176,"" 
2009-02-23T15:00:00Z,SPY,56.99934384,17,Market,Filled,968.98884528,"" 
2009-03-23T14:00:00Z,SPY,58.348102602,17,Market,Filled,991.917744234,"" 
2009-04-23T14:00:00Z,SPY,62.442316628,16,Market,Filled,999.077066048,"" 
2009-05-26T14:00:00Z,SPY,66.099715776,15,Market,Filled,991.49573664,"" 
2009-06-26T14:00:00Z,SPY,68.156354158,14,Market,Filled,954.188958212,"" 
2009-07-27T14:00:00Z,SPY,72.884263803,13,Market,Filled,947.495429439,"" 
2009-08-27T14:00:00Z,SPY,76.130513575,13,Market,Filled,989.696676475,"" 
2009-09-28T14:00:00Z,SPY,78.99926496,12,Market,Filled,947.99117952,"" 
2009-10-28T14:00:00Z,SPY,79.291023609,12,Market,Filled,951.492283308,"" 
2009-11-30T15:00:00Z,SPY,81.999142351,12,Market,Filled,983.989708212,"" 
2009-12-30T15:00:00Z,SPY,84.637020105,11,Market,Filled,931.007221155,"" 
2010-02-01T15:00:00Z,SPY,81.478080405,12,Market,Filled,977.73696486,"" 
2010-03-01T15:00:00Z,SPY,83.749508475,11,Market,Filled,921.244593225,"" 
2010-04-01T14:00:00Z,SPY,89.147195748,11,Market,Filled,980.619153228,"" 
2010-05-03T14:00:00Z,SPY,90.370666242,11,Market,Filled,994.077328662,"" 
2010-06-03T14:00:00Z,SPY,83.868147135,11,Market,Filled,922.549618485,"" 
2010-07-06T14:00:00Z,SPY,78.72776175,12,Market,Filled,944.733141,"" 
2010-08-06T14:00:00Z,SPY,85.3674525,11,Market,Filled,939.0419775,"" 
2010-09-07T14:00:00Z,SPY,83.379339384,11,Market,Filled,917.172733224,"" 
2010-10-07T14:00:00Z,SPY,88.318895448,11,Market,Filled,971.507849928,"" 
2010-11-08T15:00:00Z,SPY,93.163198688,10,Market,Filled,931.63198688,"" 
2010-12-08T15:00:00Z,SPY,93.926081088,10,Market,Filled,939.26081088,"" 
2011-01-10T15:00:00Z,SPY,96.820430625,10,Market,Filled,968.20430625,"" 
2011-02-10T15:00:00Z,SPY,100.869633585,9,Market,Filled,907.826702265,"" 
2011-03-10T15:00:00Z,SPY,100.0030428,9,Market,Filled,900.0273852,"" 
2011-04-11T14:00:00Z,SPY,102.64031676,9,Market,Filled,923.76285084,"" 
2011-05-11T14:00:00Z,SPY,104.30400492,9,Market,Filled,938.73604428,"" 
2011-06-13T14:00:00Z,SPY,98.68135512,10,Market,Filled,986.8135512,"" 
2011-07-13T14:00:00Z,SPY,102.119770043,9,Market,Filled,919.077930387,"" 
2011-08-15T14:00:00Z,SPY,92.591274862,10,Market,Filled,925.91274862,"" 
2011-09-15T14:00:00Z,SPY,93.148587334,10,Market,Filled,931.48587334,"" 
2011-10-17T14:00:00Z,SPY,94.587343988,10,Market,Filled,945.87343988,"" 
2011-11-17T15:00:00Z,SPY,96.065635948,10,Market,Filled,960.65635948,"" 
2011-12-19T15:00:00Z,SPY,95.555464992,10,Market,Filled,955.55464992,"" 
2012-01-19T15:00:00Z,SPY,102.758925152,9,Market,Filled,924.830326368,"" 
2012-02-21T15:00:00Z,SPY,106.822616264,9,Market,Filled,961.403546376,"" 
2012-03-21T14:00:00Z,SPY,110.397092118,9,Market,Filled,993.573829062,"" 
2012-04-23T14:00:00Z,SPY,107.172786108,9,Market,Filled,964.555074972,"" 
2012-05-23T14:00:00Z,SPY,103.303618896,9,Market,Filled,929.732570064,"" 
2012-06-25T14:00:00Z,SPY,104.075623748,9,Market,Filled,936.680613732,"" 
2012-07-25T14:00:00Z,SPY,105.980699346,9,Market,Filled,953.826294114,"" 
2012-08-27T14:00:00Z,SPY,111.798689554,8,Market,Filled,894.389516432,"" 
2012-09-27T14:00:00Z,SPY,114.19930968,8,Market,Filled,913.59447744,"" 
2012-10-31T14:00:00Z,SPY,112.657579264,8,Market,Filled,901.260634112,"" 
2012-11-30T15:00:00Z,SPY,112.903938248,8,Market,Filled,903.231505984,"" 
2012-12-31T15:00:00Z,SPY,112.39202706,8,Market,Filled,899.13621648,"" 
2013-01-31T15:00:00Z,SPY,120.2513855,8,Market,Filled,962.011084,"" 
2013-02-28T15:00:00Z,SPY,121.84406608,8,Market,Filled,974.75252864,"" 
2013-03-28T14:00:00Z,SPY,125.53407549,7,Market,Filled,878.73852843,"" 
2013-04-29T14:00:00Z,SPY,127.576064294,7,Market,Filled,893.032450058,"" 
2013-05-29T14:00:00Z,SPY,132.914176758,7,Market,Filled,930.399237306,"" 
2013-07-01T14:00:00Z,SPY,130.822540837,7,Market,Filled,915.757785859,"" 
2013-08-01T14:00:00Z,SPY,137.47398651,7,Market,Filled,962.31790557,"" 
2013-09-03T14:00:00Z,SPY,133.562322226,7,Market,Filled,934.936255582,"" 
2013-10-03T14:00:00Z,SPY,136.724223545,7,Market,Filled,957.069564815,"" 
2013-11-04T15:00:00Z,SPY,143.302579415,6,Market,Filled,859.81547649,"" 
2013-12-04T15:00:00Z,SPY,145.633428964,6,Market,Filled,873.800573784,"" 
2014-01-06T15:00:00Z,SPY,149.412734793,6,Market,Filled,896.476408758,"" 
2014-02-06T15:00:00Z,SPY,144.064025098,6,Market,Filled,864.384150588,"" 
2014-03-06T15:00:00Z,SPY,153.985677433,6,Market,Filled,923.914064598,"" 
2014-04-07T14:00:00Z,SPY,152.5614594,6,Market,Filled,915.3687564,"" 
2014-05-07T14:00:00Z,SPY,153.357075613,6,Market,Filled,920.142453678,"" 
2014-06-09T14:00:00Z,SPY,160.402790324,6,Market,Filled,962.416741944,"" 
2014-07-09T14:00:00Z,SPY,161.915632714,6,Market,Filled,971.493796284,"" 
2014-08-11T14:00:00Z,SPY,160.020051144,6,Market,Filled,960.120306864,"" 
2014-09-11T14:00:00Z,SPY,164.717796774,6,Market,Filled,988.306780644,"" 
2014-10-13T14:00:00Z,SPY,157.398797025,6,Market,Filled,944.39278215,"" 
2014-11-13T15:00:00Z,SPY,169.39684305,5,Market,Filled,846.98421525,"" 
2014-12-15T15:00:00Z,SPY,167.34334725,5,Market,Filled,836.71673625,"" 
2015-01-15T15:00:00Z,SPY,166.45569108,6,Market,Filled,998.73414648,"" 
2015-02-17T15:00:00Z,SPY,174.41545702,5,Market,Filled,872.0772851,"" 
2015-03-17T14:00:00Z,SPY,172.83349517,5,Market,Filled,864.16747585,"" 
2015-04-17T14:00:00Z,SPY,174.289914799,5,Market,Filled,871.449573995,"" 
2015-05-18T14:00:00Z,SPY,177.760825814,5,Market,Filled,888.80412907,"" 
2015-06-18T14:00:00Z,SPY,177.192098226,5,Market,Filled,885.96049113,"" 
2015-07-20T14:00:00Z,SPY,178.499464598,5,Market,Filled,892.49732299,"" 
2015-08-20T14:00:00Z,SPY,173.406203672,5,Market,Filled,867.03101836,"" 
2015-09-21T14:00:00Z,SPY,166.110165954,6,Market,Filled,996.660995724,"" 
2015-10-21T14:00:00Z,SPY,171.872188902,5,Market,Filled,859.36094451,"" 
2015-11-23T15:00:00Z,SPY,176.823135306,5,Market,Filled,884.11567653,"" 
2015-12-23T15:00:00Z,SPY,174.100255236,5,Market,Filled,870.50127618,"" 
2016-01-25T15:00:00Z,SPY,161.14727784,6,Market,Filled,966.88366704,"" 
2016-02-25T15:00:00Z,SPY,164.351524873,6,Market,Filled,986.109149238,"" 
2016-03-28T14:00:00Z,SPY,173.604985372,5,Market,Filled,868.02492686,"" 
2016-04-28T14:00:00Z,SPY,178.59417446,5,Market,Filled,892.9708723,"" 
2016-05-31T14:00:00Z,SPY,179.738954148,5,Market,Filled,898.69477074,"" 
2016-06-30T14:00:00Z,SPY,177.480900549,5,Market,Filled,887.404502745,"" 
2016-08-01T14:00:00Z,SPY,186.309001665,5,Market,Filled,931.545008325,"" 
2016-09-01T14:00:00Z,SPY,186.558043428,5,Market,Filled,932.79021714,"" 
2016-10-03T14:00:00Z,SPY,185.962414205,5,Market,Filled,929.812071025,"" 
2016-11-03T14:00:00Z,SPY,181.137490114,5,Market,Filled,905.68745057,"" 
2016-12-05T15:00:00Z,SPY,190.847757739,5,Market,Filled,954.238788695,"" 
2017-01-05T15:00:00Z,SPY,196.540342257,5,Market,Filled,982.701711285,"" 
2017-02-06T15:00:00Z,SPY,198.954010815,5,Market,Filled,994.770054075,"" 
2017-03-06T15:00:00Z,SPY,206.273156838,4,Market,Filled,825.092627352,"" 
2017-04-06T14:00:00Z,SPY,205.1884237,4,Market,Filled,820.7536948,"" 
2017-05-08T14:00:00Z,SPY,208.82478463,4,Market,Filled,835.29913852,"" 
2017-06-08T14:00:00Z,SPY,212.40010353,4,Market,Filled,849.60041412,"" 
2017-07-10T14:00:00Z,SPY,211.926068795,4,Market,Filled,847.70427518,"" 
2017-08-10T14:00:00Z,SPY,215.448677009,4,Market,Filled,861.794708036,"" 
2017-09-11T14:00:00Z,SPY,217.779557071,4,Market,Filled,871.118228284,"" 
2017-10-11T14:00:00Z,SPY,224.051490531,4,Market,Filled,896.205962124,"" 
2017-11-13T15:00:00Z,SPY,227.045536311,4,Market,Filled,908.182145244,"" 
2017-12-13T15:00:00Z,SPY,235.464088563,4,Market,Filled,941.856354252,"" 
2018-01-16T15:00:00Z,SPY,247.83724,4,Market,Filled,991.34896,"" 
2018-02-16T15:00:00Z,SPY,241.43772841,4,Market,Filled,965.75091364,"" 
2018-03-16T14:00:00Z,SPY,244.229153714,4,Market,Filled,976.916614856,"" 
2018-04-16T14:00:00Z,SPY,236.773063911,4,Market,Filled,947.092255644,"" 
2018-05-16T14:00:00Z,SPY,241.554203737,4,Market,Filled,966.216814948,"" 
2018-06-18T14:00:00Z,SPY,245.954251872,4,Market,Filled,983.817007488,"" 
2018-07-18T14:00:00Z,SPY,250.319511351,3,Market,Filled,750.958534053,"" 
2018-08-20T14:00:00Z,SPY,254.738332296,3,Market,Filled,764.214996888,"" 
2018-09-20T14:00:00Z,SPY,261.29068497,3,Market,Filled,783.87205491,"" 
2018-10-22T14:00:00Z,SPY,246.939038832,4,Market,Filled,987.756155328,"" 
2018-11-23T15:00:00Z,SPY,236.841593296,4,Market,Filled,947.366373184,"" 
2018-12-24T15:00:00Z,SPY,214.114813484,4,Market,Filled,856.459253936,"" 
