meeting_start_date,meeting_date,announcement_timestamp,announcement_timestamp_est,expected_rate,realized_rate,rate_change_bps,decision_type,is_emergency
2000-02-01,2000-02-02,2000-02-02T19:00:00Z,2000-02-02T14:00:00-05:00,5.5,5.75,25.0,hike,False
2000-03-21,2000-03-21,2000-03-21T19:00:00Z,2000-03-21T14:00:00-05:00,5.75,6.0,25.0,hike,False
2000-05-16,2000-05-16,2000-05-16T18:00:00Z,2000-05-16T14:00:00-04:00,6.0,6.5,50.0,hike,False
2000-06-27,2000-06-28,2000-06-28T18:00:00Z,2000-06-28T14:00:00-04:00,6.5,6.5,0.0,hold,False
2000-08-22,2000-08-22,2000-08-22T18:00:00Z,2000-08-22T14:00:00-04:00,6.5,6.5,0.0,hold,False
2000-10-03,2000-10-03,2000-10-03T18:00:00Z,2000-10-03T14:00:00-04:00,6.5,6.5,0.0,hold,False
2000-11-15,2000-11-15,2000-11-15T19:00:00Z,2000-11-15T14:00:00-05:00,6.5,6.5,0.0,hold,False
2000-12-19,2000-12-19,2000-12-19T19:00:00Z,2000-12-19T14:00:00-05:00,6.5,6.5,0.0,hold,False
2001-01-03,2001-01-03,2001-01-03T19:00:00Z,2001-01-03T14:00:00-05:00,6.5,6.0,-50.0,cut,True
2001-01-30,2001-01-31,2001-01-31T19:00:00Z,2001-01-31T14:00:00-05:00,6.0,5.5,-50.0,cut,False
2001-03-20,2001-03-20,2001-03-20T19:00:00Z,2001-03-20T14:00:00-05:00,5.5,5.0,-50.0,cut,False
2001-04-11,2001-04-11,2001-04-11T18:00:00Z,2001-04-11T14:00:00-04:00,5.0,5.0,0.0,hold,True
2001-04-18,2001-04-18,2001-04-18T18:00:00Z,2001-04-18T14:00:00-04:00,5.0,4.5,-50.0,cut,True
2001-05-15,2001-05-15,2001-05-15T18:00:00Z,2001-05-15T14:00:00-04:00,4.5,4.0,-50.0,cut,False
2001-06-26,2001-06-27,2001-06-27T18:00:00Z,2001-06-27T14:00:00-04:00,4.0,3.75,-25.0,cut,False
2001-08-21,2001-08-21,2001-08-21T18:00:00Z,2001-08-21T14:00:00-04:00,3.75,3.5,-25.0,cut,False
2001-09-13,2001-09-13,2001-09-13T18:00:00Z,2001-09-13T14:00:00-04:00,3.5,3.5,0.0,hold,True
2001-09-17,2001-09-17,2001-09-17T18:00:00Z,2001-09-17T14:00:00-04:00,3.5,3.0,-50.0,cut,True
2001-10-02,2001-10-02,2001-10-02T18:00:00Z,2001-10-02T14:00:00-04:00,3.0,2.5,-50.0,cut,False
2001-11-06,2001-11-06,2001-11-06T19:00:00Z,2001-11-06T14:00:00-05:00,2.5,2.0,-50.0,cut,False
2001-12-11,2001-12-11,2001-12-11T19:00:00Z,2001-12-11T14:00:00-05:00,2.0,1.75,-25.0,cut,False
2002-01-29,2002-01-30,2002-01-30T19:00:00Z,2002-01-30T14:00:00-05:00,1.75,1.75,0.0,hold,False
2002-03-19,2002-03-19,2002-03-19T19:00:00Z,2002-03-19T14:00:00-05:00,1.75,1.75,0.0,hold,False
2002-05-07,2002-05-07,2002-05-07T18:00:00Z,2002-05-07T14:00:00-04:00,1.75,1.75,0.0,hold,False
2002-06-25,2002-06-26,2002-06-26T18:00:00Z,2002-06-26T14:00:00-04:00,1.75,1.75,0.0,hold,False
2002-08-13,2002-08-13,2002-08-13T18:00:00Z,2002-08-13T14:00:00-04:00,1.75,1.75,0.0,hold,False
2002-09-24,2002-09-24,2002-09-24T18:00:00Z,2002-09-24T14:00:00-04:00,1.75,1.75,0.0,hold,False
2002-11-06,2002-11-06,2002-11-06T19:00:00Z,2002-11-06T14:00:00-05:00,1.75,1.25,-50.0,cut,False
2002-12-10,2002-12-10,2002-12-10T19:00:00Z,2002-12-10T14:00:00-05:00,1.25,1.25,0.0,hold,False
2003-01-28,2003-01-29,2003-01-29T19:00:00Z,2003-01-29T14:00:00-05:00,1.25,1.25,0.0,hold,False
2003-03-18,2003-03-18,2003-03-18T19:00:00Z,2003-03-18T14:00:00-05:00,1.25,1.25,0.0,hold,False
2003-03-25,2003-03-25,2003-03-25T19:00:00Z,2003-03-25T14:00:00-05:00,1.25,1.25,0.0,hold,True
2003-04-01,2003-04-01,2003-04-01T19:00:00Z,2003-04-01T14:00:00-05:00,1.25,1.25,0.0,hold,True
2003-04-08,2003-04-08,2003-04-08T18:00:00Z,2003-04-08T14:00:00-04:00,1.25,1.25,0.0,hold,True
2003-04-16,2003-04-16,2003-04-16T18:00:00Z,2003-04-16T14:00:00-04:00,1.25,1.25,0.0,hold,True
2003-05-06,2003-05-06,2003-05-06T18:00:00Z,2003-05-06T14:00:00-04:00,1.25,1.25,0.0,hold,False
2003-06-24,2003-06-25,2003-06-25T18:00:00Z,2003-06-25T14:00:00-04:00,1.25,1.0,-25.0,cut,False
2003-08-12,2003-08-12,2003-08-12T18:00:00Z,2003-08-12T14:00:00-04:00,1.0,1.0,0.0,hold,False
2003-09-15,2003-09-15,2003-09-15T18:00:00Z,2003-09-15T14:00:00-04:00,1.0,1.0,0.0,hold,False
